"patch_file","cluster","huc","patch_num","status","comment","reviewer","timestamp"
"cluster_64_huc_041300030201_patch_1.tif",64,"041300030201",1,"invalid","","MAH","2026-02-17 11:19:51"
"cluster_64_huc_041300030201_patch_9.tif",64,"041300030201",9,"valid","","MAH","2026-02-17 11:20:35"
"cluster_64_huc_041300030201_patch_10.tif",64,"041300030201",10,"uncertain","","MAH","2026-02-17 11:20:37"
"cluster_64_huc_041300030201_patch_11.tif",64,"041300030201",11,"uncertain","","MAH","2026-02-17 11:20:42"
"cluster_64_huc_041300030201_patch_12.tif",64,"041300030201",12,"invalid","","MAH","2026-02-17 11:20:44"
"cluster_64_huc_041300030201_patch_13.tif",64,"041300030201",13,"invalid","","MAH","2026-02-17 11:20:46"
"cluster_64_huc_041300030201_patch_15.tif",64,"041300030201",15,"valid","","MAH","2026-02-17 11:50:40"
"cluster_64_huc_041300030201_patch_16.tif",64,"041300030201",16,"invalid","","MAH","2026-02-17 11:50:48"
"cluster_64_huc_041300030201_patch_20.tif",64,"041300030201",20,"valid","","MAH","2026-02-17 11:58:10"
"cluster_64_huc_041300030201_patch_21.tif",64,"041300030201",21,"valid","","MAH","2026-02-17 11:59:09"
"cluster_64_huc_041300030201_patch_22.tif",64,"041300030201",22,"valid","","MAH","2026-02-17 12:00:03"
"cluster_64_huc_041300030201_patch_23.tif",64,"041300030201",23,"valid","","MAH","2026-02-17 12:00:09"
"cluster_64_huc_041300030201_patch_24.tif",64,"041300030201",24,"invalid","","MAH","2026-02-17 12:01:13"
